H,K,L,E
0,0,-3.006097561,0.655092593
0,0,-2.902439024,0.75462963
0,0,-2.801829268,0.912037037
0,0,-2.704268293,1.148148148
0,0,-2.603658537,1.25
0,0,-2.50304878,1.324074074
0,0,-2.402439024,1.219907407
0,0,-2.301829268,1.173611111
0,0,-1.5,1.291666667
0,0,-1.399390244,1.233796296
0,0,-1.301829268,1.106481481
0,0,-1.201219512,0.877314815
0,0,-1.100609756,0.715277778
0,0,-1,0.641203704
