H,K,L,E
1.502080444,0,0,3.219858156
1.599861304,0,0,2.624113475
1.697642164,0,0,1.829787234
1.797503467,0,0,1.234042553
1.899445215,0,0,0.737588652
1.953536755,0,0,0.624113475
2.001386963,0,0,0.510638298
2.099167822,0,0,0.65248227
2.20110957,0,0,1.163120567
2.300970874,0,0,1.773049645
2.400832178,0,0,2.978723404
2.502773925,0,0,4.283687943
2.602635229,0,0,5.092198582
2.700416089,0,0,5.929078014
2.798196949,0,0,7.304964539
2.900138696,0,0,7.673758865
3.002080444,0,0,8
